product_id,is_active,name,new_l1,new_l2,category_l1,category_l2,category_l3
AEUSA,TRUE,Average Electricity Price for All Sectors,Energy,Electricity & Renewables,Economic Indicators,Oil & Energy,United States
AEUSC,FALSE,Average Electricity Price for the Commercial Sector,Energy,Electricity & Renewables,Economic Indicators,Oil & Energy,United States
AEUSI,FALSE,Average Electricity Price for the Industrial Sector,Energy,Electricity & Renewables,Economic Indicators,Oil & Energy,United States
AEUSR,FALSE,Average Electricity  Price for the Residential Sector,Energy,Electricity & Renewables,Economic Indicators,Oil & Energy,United States
AEUST,FALSE,Average Electricity Price for the Transportation Sector,Energy,Electricity & Renewables,Economic Indicators,Oil & Energy,United States
CMCAC,TRUE,Total Consumption of Coal in California,Energy,Fossil Fuels,Economic Indicators,Oil & Energy,California
CMCAN,TRUE,Total Consumption of Natural Gas in California,Energy,Fossil Fuels,Economic Indicators,Oil & Energy,California
CMUSC,TRUE,Total Consumption of Coal in the US,Energy,Fossil Fuels,Economic Indicators,Oil & Energy,United States
CMUSN,TRUE,Total Consumption of Natural Gas in the US,Energy,Fossil Fuels,Economic Indicators,Oil & Energy,United States
ELGPC,TRUE,US Coal Electricity Generation as a Percentage of Total Generation,Energy,Fossil Fuels,Economic Indicators,Oil & Energy,United States
ELGPH,TRUE,US Conventional Hydroelectric Electricity Generation as a Percentage of Total Generation,Energy,Electricity & Renewables,Economic Indicators,Oil & Energy,United States
ELGPN,TRUE,US Natural Gas Electricity Generation as a Percentage of Total Generation,Energy,Fossil Fuels,Economic Indicators,Oil & Energy,United States
ELGPP,TRUE,US Petroleum Electricity Generation as a Percentage of Total Generation,Energy,Fossil Fuels,Economic Indicators,Oil & Energy,United States
ELGPR,TRUE,US Nuclear Energy Electricity Generation as a Percentage of Total Generation,Energy,Electricity & Renewables,Economic Indicators,Oil & Energy,United States
ELGPS,TRUE,US Solar Energy Electricity Generation as a Percentage of Total Generation,Energy,Electricity & Renewables,Economic Indicators,Oil & Energy,United States
ELGPW,TRUE,US Wind Electricity Generation as a Percentage of Total Generation,Energy,Electricity & Renewables,Economic Indicators,Oil & Energy,United States
EMCAC,TRUE,California Coal Electricity Generation,Energy,Fossil Fuels,Economic Indicators,Oil & Energy,California
EMCAR,TRUE,California Nuclear Energy Electricity Generation,Energy,Electricity & Renewables,Economic Indicators,Oil & Energy,California
EMCAX,TRUE,California Renewable Energy Electricity Generation,Energy,Electricity & Renewables,Economic Indicators,Oil & Energy,California
EMUSA,TRUE,US Total Electricity Generation,Energy,Electricity & Renewables,Economic Indicators,Oil & Energy,United States
EMUSC,TRUE,US Coal Electricity Generation,Energy,Fossil Fuels,Economic Indicators,Oil & Energy,United States
EMUSR,TRUE,US Nuclear Energy Electricity Generation,Energy,Electricity & Renewables,Economic Indicators,Oil & Energy,United States
EMUSX,TRUE,US Renewable Energy Electricity Generation,Energy,Electricity & Renewables,Economic Indicators,Oil & Energy,United States
GSCAL,TRUE,Gas Prices in California,Energy,Fossil Fuels,Economic Indicators,Oil & Energy,California
GSNYK,TRUE,Gas Prices in New York,Energy,Fossil Fuels,Economic Indicators,Oil & Energy,New York
GSTXS,TRUE,Gas Prices in Texas,Energy,Fossil Fuels,Economic Indicators,Oil & Energy,Texas
NGP,TRUE,US Natural Gas Production,Energy,Fossil Fuels,Economic Indicators,Oil & Energy,United States
OP,TRUE,US Oil Production,Energy,Fossil Fuels,Economic Indicators,Oil & Energy,United States
RECAC,TRUE,California Commercial Electricity Generation Sales Revenue,Energy,Electricity & Renewables,Economic Indicators,Oil & Energy,United States
RENYA,TRUE,All New York Electricity Generation Sales Revenue,Energy,Electricity & Renewables,Economic Indicators,Oil & Energy,United States
RENYC,TRUE,New York Commercial Electricity Generation Sales Revenue,Energy,Electricity & Renewables,Economic Indicators,Oil & Energy,United States
RETXC,TRUE,Texas Commercial Electricity Generation Sales Revenue,Energy,Electricity & Renewables,Economic Indicators,Oil & Energy,United States
REUSA,TRUE,All US Electricity Generation Sales Revenue,Energy,Electricity & Renewables,Economic Indicators,Oil & Energy,United States
REUSC,TRUE,US Commercial Electricity Generation Sales Revenue,Energy,Electricity & Renewables,Economic Indicators,Oil & Energy,United States
USGP,TRUE,US Gasoline Prices,Energy,Fossil Fuels,Economic Indicators,Oil & Energy,United States
GCYCO,TRUE,Global Crop Yield of Corn,Climate & Weather,Agriculture,Environmental,Agriculture,Global
GCYRM,TRUE,Global Crop Yield Rice,Climate & Weather,Agriculture,Environmental,Agriculture,Global
GCYWH,TRUE,Global Crop Yield of Wheat,Climate & Weather,Agriculture,Environmental,Agriculture,Global
ACD,TRUE,Atmospheric Carbon Dioxide,Climate & Weather,Climate Change,Environmental,Climate Change,Global
AMOCW,TRUE,AMOC Weakening,Climate & Weather,Climate Change,Environmental,Climate Change,Global
GCE,TRUE,Global Carbon Dioxide Emissions,Climate & Weather,Climate Change,Environmental,Climate Change,Global
GSL,TRUE,Global Sea Level,Climate & Weather,Climate Change,Environmental,Climate Change,Global
MACD,TRUE,Monthly Atmospheric Carbon Dioxide,Climate & Weather,Climate Change,Environmental,Climate Change,Global
USCE,TRUE,United States Carbon Dioxide Emissions,Climate & Weather,Climate Change,Environmental,Climate Change,United States
USDR,TRUE,United States Drought,Climate & Weather,Weather,Environmental,Climate Change,United States
